,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
28,Allegan,2276,Valid,H5,32000.0,Fell,1899.0,42.53333,-85.88333,"(42.53333, -85.88333)"
29,Allende,2278,Valid,CV3,2000000.0,Fell,1969.0,26.96667,-105.31667,"(26.96667, -105.31667)"
34,Andover,2295,Valid,L6,3200.0,Fell,1898.0,44.61667,-70.75,"(44.61667, -70.75)"
46,Archie,2329,Valid,H6,5070.0,Fell,1932.0,38.5,-94.3,"(38.5, -94.3)"
49,Ash Creek,48954,Valid,L6,9500.0,Fell,2009.0,31.805,-97.01,"(31.805, -97.01)"
54,Athens,4885,Valid,LL6,265.0,Fell,1933.0,34.75,-87.0,"(34.75, -87.0)"
55,Atoka,4888,Valid,L6,1384.2,Fell,1945.0,34.31667,-96.15,"(34.31667, -96.15)"
62,Avilez,4907,Valid,H,146.0,Fell,1855.0,25.0,-103.5,"(25.0, -103.5)"
64,Aztec,4913,Valid,L6,2830.0,Fell,1938.0,36.8,-108.0,"(36.8, -108.0)"
67,Bald Mountain,4925,Valid,L4,3700.0,Fell,1929.0,35.96667,-82.48333,"(35.96667, -82.48333)"
68,Baldwyn,4926,Valid,L6,345.0,Fell,1922.0,34.5,-88.66667,"(34.5, -88.66667)"
84,Bath,4974,Valid,H4,21000.0,Fell,1892.0,45.41667,-98.31667,"(45.41667, -98.31667)"
85,Bath Furnace,4975,Valid,L6,86000.0,Fell,1902.0,38.25,-83.75,"(38.25, -83.75)"
86,Battle Mountain,56133,Valid,L6,2900.0,Fell,2012.0,40.66813,-117.18913,"(40.66813, -117.18913)"
88,Baxter,4977,Valid,L6,611.0,Fell,1916.0,36.75,-93.5,"(36.75, -93.5)"
89,Beardsley,4984,Valid,H5,16000.0,Fell,1929.0,39.8,-101.2,"(39.8, -101.2)"
92,Bells,5005,Valid,C2-ung,375.0,Fell,1961.0,33.6,-96.46667,"(33.6, -96.46667)"
97,Benld,5021,Valid,H6,1770.5,Fell,1938.0,39.08333,-89.15,"(39.08333, -89.15)"
100,Benton,5026,Valid,LL6,2840.0,Fell,1949.0,45.95,-67.55,"(45.95, -67.55)"
104,Berthoud,47355,Valid,Eucrite-mmict,960.0,Fell,2004.0,40.30583,-105.02325,"(40.30583, -105.02325)"
105,Bethlehem,5032,Valid,H,13.9,Fell,1859.0,42.53333,-73.83333,"(42.53333, -73.83333)"
118,Bishopville,5059,Valid,Aubrite,6000.0,Fell,1843.0,34.16667,-80.28333,"(34.16667, -80.28333)"
122,Black Moshannan Park,5065,Valid,L5,705.0,Fell,1941.0,40.91667,-78.08333,"(40.91667, -78.08333)"
123,Blackwell,5068,Valid,L5,2381.0,Fell,1906.0,36.83333,-97.33333,"(36.83333, -97.33333)"
124,Blanket,5071,Valid,L6,5100.0,Fell,1909.0,31.83333,-98.83333,"(31.83333, -98.83333)"
126,Bloomington,5076,Valid,LL6,67.8,Fell,1938.0,40.48,-89.00417,"(40.48, -89.00417)"
140,Bradford Woods,5128,Valid,L,762.0,Fell,1886.0,40.5,-80.08333,"(40.5, -80.08333)"
151,Burnwell,5175,Valid,H4-an,1504.0,Fell,1990.0,37.62194,-82.23722,"(37.62194, -82.23722)"
158,Cabin Creek,5186,Valid,"Iron, IIIAB",48500.0,Fell,1886.0,35.5,-93.5,"(35.5, -93.5)"
